"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",240610,148,148,0,15,133,4,22,40,14,53,83,65,4,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240615,17,17,0,2,15,1,1,4,3,6,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240620,25,25,0,3,22,3,4,4,1,10,14,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240630,45,45,0,4,41,0,10,13,1,17,26,19,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240640,24,24,0,4,20,1,3,7,2,7,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240650,90,90,0,18,72,0,12,26,8,26,46,44,4,0,3,3,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240660,57,57,0,8,49,2,5,17,7,18,29,28,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240670,68,68,0,8,60,3,11,14,11,21,38,30,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
2015,"MU",240680,30,30,0,2,28,1,6,10,3,8,11,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240690,29,29,0,9,20,0,6,4,3,7,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240700,66,66,0,6,60,3,14,22,6,15,36,30,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240710,460,460,0,87,373,14,64,106,40,149,292,168,18,0,10,10,0,3,1,2,0,0,6,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0
2015,"MU",240720,186,186,0,32,154,3,24,39,19,69,107,79,11,0,5,4,1,0,1,2,0,0,3,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
2015,"MU",240725,29,29,0,5,24,0,7,9,4,4,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240730,53,53,0,4,49,0,8,22,3,16,32,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240740,70,70,0,9,61,2,12,23,5,19,39,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240750,59,59,0,10,49,0,9,19,4,17,35,24,4,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240760,37,37,0,7,30,2,9,8,5,6,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240770,59,59,0,6,53,3,6,15,4,25,34,25,4,0,2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,"MU",240780,105,105,0,11,94,3,23,32,6,30,59,46,6,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240790,14,14,0,4,10,0,0,4,1,5,10,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240800,1654,1654,0,276,1378,59,262,333,148,576,954,700,79,0,22,18,4,12,0,5,0,0,5,0,5,0,0,0,3,2,3,3,0,2,0,0,0,0
2015,"MU",240810,5124,5124,0,764,4360,198,946,1268,571,1377,2800,2324,200,0,80,56,24,56,1,20,0,1,38,0,7,1,0,0,2,4,3,3,1,0,0,2,0,0
2015,"MU",240820,143,143,0,29,114,4,17,38,8,47,83,60,8,0,4,3,1,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240830,268,268,0,25,243,9,44,95,23,72,146,122,15,0,4,3,1,3,1,1,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2015,"MU",240840,37,37,0,3,34,1,3,10,11,9,21,16,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MU",240850,31,31,0,0,31,0,9,7,4,11,21,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240860,35,35,0,1,34,1,10,13,4,6,18,17,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
2015,"MU",240870,29,29,0,3,26,0,2,14,4,6,16,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240880,29,29,0,2,27,0,7,5,4,11,17,12,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240890,170,170,0,22,148,6,26,61,15,40,88,82,3,0,4,2,2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240895,60,60,0,5,55,3,8,23,5,16,39,21,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240910,75,75,0,10,65,0,14,25,3,23,42,33,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240920,21,21,0,3,18,2,1,7,2,6,12,9,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240930,88,88,0,9,79,7,13,23,10,26,55,33,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240933,31,31,0,3,28,0,5,10,4,9,14,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240940,162,162,0,13,149,10,29,56,18,36,86,76,10,0,4,2,2,3,1,2,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",240950,17,17,0,2,15,0,5,4,1,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240960,10,10,0,1,9,0,0,3,1,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240970,43,43,0,6,37,2,3,11,5,16,28,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240980,97,97,0,11,86,4,9,43,7,23,56,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240990,75,75,0,6,69,2,14,23,10,20,44,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",241000,24,24,0,2,22,0,6,5,2,9,13,11,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",241010,72,72,0,11,61,0,9,31,3,18,40,32,4,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",241020,48,48,0,3,45,3,9,17,3,13,24,24,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
